timestamp,x,y,z,qx,qy,qz,qw
000000,3.7815e-13,-4.20626e-13,7.93232e-13,1.0,-4.79171e-15,1.13383e-14,-1.44723e-15
000001,0.06907797,-0.021857886,-0.089038774,0.9999820051973224,-0.005585389305917676,-0.0021527561712579644,0.00039793053498285105
000002,1.337133,-0.13387437,-0.14875042,0.999952466127493,-0.0063018007278743465,-0.007215817965079686,0.0018123918521846234
000003,2.3891246,-0.19002292,-0.035225034,0.9999782433813718,-8.662839231908524e-05,-0.005924021737271305,0.002900211351607681
000004,3.1050045,-0.3282832,-0.0033494346,0.9998746654079111,3.951992776929958e-05,-0.003073682323267349,0.015530756278063296
000005,3.966966,-0.3235377,0.028820675,0.9999801709894697,0.0014746321605374696,-0.001468980297033934,0.0059434993689525045
000006,4.8281975,-0.33427247,0.116337895,0.999973768922804,0.002589174147518342,0.0021579179353453785,0.006411008792757744
000007,5.826341,-0.24478245,0.06390253,0.9999689689554998,0.00597581195868041,-0.0009500929229454218,0.00504461306217709
000008,6.664356,0.00034227967,0.12582494,0.9999663457918313,0.00816763698771837,-0.0007707789703745136,-5.375451074098092e-05
000009,7.6124263,0.2269989,0.14198741,0.9999848499669242,0.005263976334933697,-0.0009271834598797968,-0.0013155685482075445
000010,8.3512945,0.3316602,0.2633825,0.9999716221000549,0.00424467444479378,0.0032397762527210435,-0.00531428106850018
000011,9.427236,-0.015985876,0.2068839,0.9999716924237821,0.005321033486914277,0.003864937913201356,0.0036555722773742986
000012,10.287637,-0.09295542,0.20088875,0.9999768094438685,0.004194102949210018,0.003950607150152412,0.0036308095595258094
000013,11.1258955,-0.11502823,0.20266196,0.9999681537254682,0.005407209542494993,0.004527751424242687,0.0037353830971063994
000014,11.8794,0.05351156,0.3207476,0.9999564401388661,0.005347881613333942,0.00764393464596513,0.0002970693257912777
000015,12.929017,-0.2564953,0.3563226,0.9999314503682796,0.003591522313611826,0.005822446775271344,0.009502349467845936
000016,11.560214,-0.5563642,0.6739114,0.999851344085503,-0.011917043869970828,0.0048294140007138775,-0.011486973327385862
000017,12.3126545,-0.18945083,0.5872125,0.9999157055743553,0.0031246648971816754,0.011487620286990786,-0.005181968270990366
000018,12.256369,0.435564,0.5486743,0.9995603553198209,-0.00919522860534834,0.006079373829278338,-0.027524263071924033
000019,10.663926,0.78347373,0.9552324,0.9963316899401935,-0.05887309945125738,-0.011532890926215164,-0.06102552096298995
000020,9.518112,0.453906,1.1341004,0.9973068639175485,0.022024914875850853,0.02144705292670465,-0.06658788349553689
000021,11.903853,1.1696758,1.0298444,0.9971380576171225,-0.0442868869952781,0.00541867584324242,-0.06103280793086277
000022,14.375045,1.7706175,1.0900509,0.9969598932618219,0.007240927231597923,0.020286010534329497,-0.07488002388357252
000023,15.479425,1.8999778,1.1676483,0.9997552431446614,-0.00573472575621078,0.020455405361102665,-0.006176011396771678
000024,13.64269,1.7983892,2.280584,0.9973308338542647,-0.04732826030758665,0.04412940181340179,0.033820696554118526
000025,20.285372,7.499609,1.014951,0.9976026413730963,-0.0413985342643471,0.023676149121012246,0.050145500785060394
000026,23.286522,10.052536,0.88455456,0.9982580718753683,0.02763907696162056,0.025304417751135115,0.04556961490574062
000027,23.127285,9.9023905,0.47493634,0.999147851743899,-0.012842366916402712,0.0351682991229828,0.01737339069762906
000028,24.222296,9.8466215,0.43741733,0.999165635804656,0.03915045380820625,0.011490465854082732,-0.0018009409054902247
000029,25.765743,10.077739,0.46578237,0.9991234450403542,0.021472801133610282,0.03529374338630624,0.006753670109814848
000030,25.89981,10.11314,0.12046024,0.9999925509585725,-0.0038039176676650153,-0.0002529490874879279,0.000603535005771333
000031,26.293049,10.213175,0.07197791,0.9994634412148493,0.030268630068221673,0.012363174156754139,-0.0019472117332973598
000032,26.197495,10.244867,0.028301198,0.999455629962611,0.0323685993742357,0.0005961623638730555,-0.006353117425852798
000033,26.853699,10.560773,0.0011552982,0.9998436824370595,0.01215680472916687,0.004880362595539767,-0.011874546324534992
000034,23.875347,11.287557,-0.31908634,0.9984260012918836,-0.020548696011090797,0.03510474012438133,0.03861254015657154
000035,24.338167,12.248818,-0.46116892,0.9766752860933691,-0.21319588643827414,-0.009385222144897794,0.023765881963962465
000036,25.209892,12.128172,-1.0907547,0.9881467524075063,-0.13864908899390113,0.049563470777213035,0.043426814207078265
000037,24.563604,12.369561,-1.0750183,0.9990919906153599,0.01258938231196029,0.03744752560724884,-0.015949437831324555
000038,25.452032,12.904761,-0.95562625,0.9974828910692248,0.0006741075491909949,0.07086818959493375,0.0022643556985439835
000039,25.3303,13.071905,-0.9476016,0.9970226946783639,0.0034442955096642257,0.07230676624298299,-0.026563408670930707
000040,24.43067,13.506835,-0.9019784,0.9961728162543143,0.01331686127421331,0.08638452784074967,-0.00030775230619332634
000041,24.759928,13.505853,-0.9471825,0.9951969226357152,-0.0004923603334805327,0.09111469179747864,0.035790441410445864
000042,25.44149,13.528241,-1.0134678,0.9962373440570008,0.00867802329583505,0.07587825010073716,0.04096751615097029
